,0,1,id,year,place,printer,initial
0,13.827461,-50.803593,2280,1556,Seville,"Alvares, António","2280_cortes_breve_1556_p39,178,1182,179,175.jpg"
1,-4.9306226,2.3580463,1681,1538,Paris,"Chaudière, Regnault","1681_sacrobosco_sphaera_1538_p10,1516,2013,448,420.jpg"
2,-77.93426,-17.62878,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p89,1447,1064,446,485.jpg"
3,4.570943,-73.28613,1697,1548,Seville,"León, Juan de","1697_sacrobosco_tractado_1548_p125,388,682,380,386.jpg"
4,-60.25087,-23.790068,2257,1551,Paris,"Vascosan, Michel","2257_fine_sphaera_1551_p27,214,957,376,381.jpg"
5,27.770922,56.73412,1659,1518,Venice,Company Heirs of Ottaviano Scoto I.,"1659_sacrobosco_sphera_1518_p20,330,4912,472,458.jpg"
6,-8.0560875,-17.997263,2151,1607,Geneva,"Crispin, Samuel","2151_clavius_commentarius_1607_p311,409,1059,153,156.jpg"
7,11.964718,22.0324,1763,1629,Salamanca,"Taberniel, Jacinto","1763_sacrobosco_esfera_1629_p12,1137,1217,276,279.jpg"
8,-35.797165,12.157087,2274,1581,London,"Middleton, Henry","2274_scribonius_isagoge_1581_p4,135,352,293,293.jpg"
9,-11.600419,-38.903194,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p76,2683,1420,271,271.jpg"
10,-6.414865,48.82624,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p755,555,2975,546,482.jpg"
11,3.1410084,73.984344,1929,1518,Venice,"Giunta, Lucantonio","1929_regiomontanus_sphera_1518_p288,547,3270,508,544.jpg"
12,45.996056,-17.717478,1807,1581,Rome,Company Francesco Zanetti & Domenico Basa,"1807_clavius_sphaeram_1581_p48,156,660,160,160.jpg"
13,35.2557,51.556152,1659,1518,Venice,Company Heirs of Ottaviano Scoto I.,"1659_sacrobosco_sphera_1518_p256,231,1744,436,426.jpg"
14,-23.018557,-33.670982,1832,1531,Paris,"Colines, Simon de","1832_detaples_textus_1531_p9,2530,2003,252,252.jpg"
15,15.484421,27.070372,1872,1617,Lyon,"Pillehotte, Antoine","1872_sacrobosco_emendata_1617_p206,221,1314,359,384.jpg"
16,8.435243,-35.68935,1925,1490,Venice,"Locatello, Boneto","1925_sacrobosco_sphaerae_1494_p11,132,165,235,239.jpg"
17,-12.74353,-46.183952,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p142,2779,438,254,271.jpg"
18,-16.778774,-8.588506,1746,1593,Lyon,"Julliéron, Guichard","1746_sacrobosco_christophori_1593_p313,796,3892,370,354.jpg"
19,-47.95836,16.405066,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p818,208,548,303,308.jpg"
20,-57.362045,9.231627,2078,1561,London,"Jugge, Richard","2078_curtes_arte_1561_p40,1019,2277,474,485.jpg"
21,27.561857,-28.10828,1831,1534,Paris,"Colines, Simon de","1831_mercator_textus_1534_p18,392,573,183,175.jpg"
22,5.3230205,-51.89645,1708,1556,Paris,"Cavellat, Guillaume","1708_vinet_sphaera_1556_p135,52,264,177,183.jpg"
23,-9.945299,23.536924,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p64,390,3609,569,519.jpg"
24,15.583899,7.472445,1812,1601,Venice,"Ciotti, Giovanni Battista","1812_clavius_sphaeram_1601_p352,179,902,219,209.jpg"
25,-45.42323,14.638199,1755,1607,Saint Gervais,"Crispin, Samuel","1755_clavius_commentarius_1607_p512,751,2147,403,430.jpg"
26,-15.51971,-33.802353,2217,1550,Milan,Company Valerio Meda & brothers,"2217_brucioli_trattato_1550_p2,964,183,215,215.jpg"
27,37.638817,-23.39498,1818,1608,Saint Gervais,"Crispin, Samuel","1818_clavius_sphaeram_1608_p374,74,1207,152,142.jpg"
28,-2.6652715,-11.192952,1967,1606,Lyon,"Gazeau, Hugues","1967_sacrobosco_sphaera_1606_p47,279,1016,425,439.jpg"
29,-52.895153,1.8641719,1923,1482,Venice,"Ratdolt, Erhard","1923_sacrobosco_astronomica_1482_p8,148,349,298,345.jpg"
30,-4.9871025,-17.50536,1818,1608,Saint Gervais,"Crispin, Samuel","1818_clavius_sphaeram_1608_p32,208,633,185,191.jpg"
31,-35.641468,-18.613167,2226,1589,London,"Jeffes, Abel","2226_cortes_arte_1589_p25,780,3908,724,729.jpg"
32,-53.65873,24.469023,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p362,337,334,295,294.jpg"
33,57.07054,-24.384281,1807,1581,Rome,Company Francesco Zanetti & Domenico Basa,"1807_clavius_sphaeram_1581_p253,229,575,140,131.jpg"
34,61.189915,-0.4778311,2261,1614,Leipzig,"Hermann, Johann","2261_triegler_sphaera_1614_p82,279,1350,178,167.jpg"
35,4.9079885,50.857826,2240,1548,Antwerp,"Loe, Jan vander","2240_dodoens_isagoge_1548_p33,438,1048,381,400.jpg"
36,-16.181911,32.591354,2273,1575,Venice,"Franceschi, Francesco de","2273_maurolico_opuscula_1575_p72,430,368,257,261.jpg"
37,41.2925,53.710003,1659,1518,Venice,Company Heirs of Ottaviano Scoto I.,"1659_sacrobosco_sphera_1518_p285,593,2985,435,422.jpg"
38,31.465683,6.2716603,1974,1569,Paris,Company Guillaume Cavellat & Jérôme de Marnef,"1974_vinet_sphaera_1569_p22,171,1846,194,213.jpg"
39,-8.36699,23.361582,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p65,703,4626,620,557.jpg"
40,12.290757,-32.4586,1679,1534,Paris,"Vidoue, Pierre","1679_sacrobosco_sphaera_1534_p5,549,340,166,172.jpg"
41,-26.225658,29.066692,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p761,497,6295,609,558.jpg"
42,-13.313494,50.403584,1817,1607,Rome,"Zanetti, Luigi","1817_clavius_sphaeram_1607_p622,531,1333,729,721.jpg"
43,-23.584362,-42.132133,1816,1607,Lyon,Jacques du Creux a.k.a. Molliard,"1816_clavius_sphaeram_1607_p650,191,1168,778,755.jpg"
44,-7.964103,85.01954,1929,1518,Venice,"Giunta, Lucantonio","1929_regiomontanus_sphera_1518_p324,675,1049,497,532.jpg"
45,-46.236523,22.718607,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p671,69,435,316,311.jpg"
46,25.135319,2.6024306,1811,1596,Venice,"Basa, Bernardo","1811_clavius_sphaera_1596_p435,83,435,195,199.jpg"
